CIRCLE,Sum,INVOICE
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU004,"3,33,050",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU008,"34,525",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU009,"8,65,370",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU016,"1,15,234",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU018,"3,01,830",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU021A,"6,92,121",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU031,"1,73,034",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU054,"2,84,788",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU056,"2,22,990",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU059,"2,31,031",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU061,"2,29,202",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU100,"53,729",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU177,"92,513",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU200,"95,079",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU402,"3,14,478",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU859,"2,35,736",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU863,"1,23,989",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU905,"1,76,909",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU906,"56,910",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU913,"2,79,301",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU914,"80,016",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU927,"2,85,916",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU936,"26,292",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU938,"2,45,788",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU940,"1,39,613",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU941,"2,17,658",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU948,"28,702",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU956,"2,89,413",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPU996,"5,88,009",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUA03,"78,849",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUA04,"12,540",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUA06,"1,77,663",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUA07,"5,06,212",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD02,"1,13,125",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD04,"14,596",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD08,"6,76,064",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD09,"22,798",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD16,"31,448",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD17,"1,05,310",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD20,"48,208",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD21,"1,32,728",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD32,"15,656",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD35,"59,142",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD37,"1,06,874",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD45,"43,764",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD53,"2,34,682",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUD73,"1,05,615",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUDS02,"3,21,598",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MPUMT02,"96,001",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MSO076,"34,193",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MSO082,"1,86,046",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MSO085,"5,056",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MSO091,"51,667",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MTR0003,"94,493",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MTR0013,"80,469",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MTR0017,"28,725",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MVA032,"72,039",
FEB-15-INTERIM-COMMISSION-SERV-TAX-MVA036,"3,05,871",
FEB-15-REIM-4G-DST-INCENTIVE-AURANGABAD-MAU006,"29,750",
FEB-15-REIM-4G-FSE-INCENTIVE-MPU941,"24,750",
FEB-15-RENT-RECOVERY-MPU938-REVERSAL,"56,180",
FNFDE1730270PRATHMESHCELLULARREFUNDOFSD,"50,000",
FNFDE1730270PRATHMESHCELLULARREFUNDPEFS5OCT13,"15,680",
FNFDE1730305SADANITELECOMREFUNDFTAPAYOUTJAN14,"1,238",
FNFDE1730305SADANITELECOMREFUNDOFSECURITYDEPOSIT,"25,000",
FNFDE1731763ABHINAVENTERPRISESREFUNDAPR13KROSCHEME,444,
FNFDE1731763ABHINAVENTERPRISESREFUNDDAMAGERCV,"54,409",
FNFDE1731763ABHINAVENTERPRISESREFUNDNONMOVINGRCV,"3,078",
FNFDE1731763ABHINAVENTERPRISESREFUNDOFSD,"75,000",
FNFDE1731763ABHINAVENTERPRISESREFUNDPEFRS5MAY13,"1,545",
FNFDE1731763ABHINAVENTERPRISESREFUNDWALLET2MAY13,73,
FNFDE1731790SAHILENTERPRISESREFUNDDAMAGERCV,722,
FNFDE1731790SAHILENTERPRISESREFUNDDISTFTATATOCT13,"1,660",
FNFDE1731790SAHILENTERPRISESREFUNDOFSECURITYDEPOSI,"25,000",
FNFDE1731790SAHILENTERPRISESREFUNDPCOCOMMOCT13,150,
FNFDE1731790SAHILENTERPRISESREFUNDPEFPICKURS5OCT13,110,
FNFDE1731790SAHILENTERPRISESREFUNDW2BILLPAYOCT13,151,
FNFDE1731909AMELECTRONICSREFUNDOFSECURITYDEPOSIT,"50,000",
FNFDE1732028YASINITRADERSREFUNDOFSECURITYDEPOSIT,"25,000",
FNFDE1732028YASINITRADEUDREFUNDMNPSIMTOCT14,30,
FNFDE1732134VEDAGENCIESREFUNDANMOLRATNAJUL13,"4,500",
FNFDE1732134VEDAGENCIESREFUNDDAMAGERCV,"8,755",
FNFDE1732134VEDAGENCIESREFUNDDISTPEFPICKRS5JUL13,"5,055",
FNFDE1732134VEDAGENCIESREFUNDOFSECURITYDEPOSIT,"50,000",
FNFDE1732134VEDAGENCIESREFUNDW2BILLPAYMENT,153,
FNFDE1732224NEWOMSHANTIENTERPRISESREFUNDANMOLMAR14,"4,000",
FNFDE1732224NEWOMSHANTIENTERPRISESREFUNDOFSD,"25,000",
FNFDE1732224NEWOMSHANTIENTERPRISESREFUNDPEFRSMAR14,960,
FNFDE1732395CONNECTENTERPRISESADJUSTEDOFSDINRECOVE,"1,00,000",
FNFDE1732667YASINITRADERSREFUND07RSOCT14TO27NOV14,"2,568",
FNFDE1732667YASINITRADERSREFUNDICRLAUNCHSEP145SITE,"24,900",
FNFDE1732667YASINITRADERSREFUNDMNPSIMREIMBOCT14,40,
FNFDE1740968VAIBHAVENTERPRISESREFUNDPEFJAN13FEB13,54,
FNFDE1740968VAIBHAVENTERPRISESUDREFUND3GMAR13MAR13,300,
FNFDE1740968VAIBHAVENTERPRISESUDREFUNDIDOCFORMAR13,5,
FNFDE1740968VAIBHAVENTERPRISESUDREFUNDOFSDPREPAID,"25,000",
FNFDE1740968VAIBHAVENTERPRISESUDREFUNDPEFMARAPR13,430,
FNFDE1740968VAIBHAVENTERPRISESUDREFUNDWALLET2APR13,11,
FNFDE1740968VAIBHAVENTERPRISESUDREFUNDWALLET2MAR13,379,
FNFDE1741031VAIBHAVENTERPRISESARCREFUNDOFSDPOSTPAI,"2,00,000",
FNFDE1741054SAIPRASADENTERPRISESREFUNDOFSDPCO,"25,000",
FNFDE1741078JSKMARKETINGPVTLTDREFUNDOFSDPREPAID,"25,000",
FNFDE1741150ANUPTELECOMPCOREFUNDOFSECURITYDEPOSIT,"25,000",
FNFDE1741150ANUPTELECOMPCOREFUNDPENDINGRCPT,"20,000",
FNFMUM2986for07-04-15to05-04-16,"48,973",
FNFMUM3277for17-04-14to16-04-15,"1,50,000",
FNFROMROM215for05-02-14to01-04-15,"45,000",
GD/2015/0109,"32,725",
GD/2015/0110,"1,30,405",
GJ/20150301/19157/MH/IN/O,"30,814",
GJ/20150301/19201/MUM/IN/O,"8,99,541",
GJ76210612,21,
GJ76210613,"1,304",
GJ76210827,17,
GJ76210828,"2,144",
GJ76211037,10,
GJ76211038,"1,892",
GJ76211200,8,
GJ76211201,"1,767",
GJ76211339,4,
GJ76211340,"1,897",
GJ76211520,10,
GJ76211521,"2,174",
GOAENTRYTAXMAR15,"13,04,689",
HA/20150301/19158/MH/IN/O,"1,423",
HA/20150301/19202/MUM/IN/O,"1,80,527",
HP/20150301/19159/MH/IN/O,204,
HP/20150301/19203/MUM/IN/O,"16,110",
HS/TR/BAL/001/03/2015-2016,"92,700",
JAN-15-4G-DONGLE-SUBSIDY-BCL-74-90A,"9,64,273",
JAN-15-4G-FSE-INCENTIVE-MPUD76,"18,225",
JAN-15-AOR-SPP-COMMISSSION,"41,629",
JAN15CLA/TDS/RECT/4,"2,000",
JAN-15-INTERIM-COMMISSION-A1GEWKY5,"4,050",
JAN-15-INTERIM-COMMISSION-MNA715,0,
JAN-15-INTERIM-COMMISSION-MNA715A,"1,099",
JAN-15-INTERIM-COMMISSION-MNG1022,"4,630",
JAN-15-INTERIM-COMMISSION-MNGC02,"55,450",
JAN-15-INTERIM-COMMISSION-MPUD63,"21,400",
JAN-15-INTERIM-COMMISSION-MSO092,"34,789",
JAN-15-INTERIM-COMMISSION-SER-TAX-MNG124,"1,26,416",
JAN-15-INTERIM-COMMISSION-SER-TAX-MPUD16,"29,033",
JAN-15-REIM-4G-FSE-INCENTIVE-MPU941,"18,000",
JAN-15-REIM-RNR-EXPENSES-MPUD16,"7,000",
JK/20150301/19160/MH/IN/O,231,
JK/20150301/19204/MUM/IN/O,"6,358",
KH-01/2015-16,"69,215",
KL/20150301/19161/MH/IN/O,"6,030",
KL/20150301/19205/MUM/IN/O,"3,76,776",
KL77900626,11,
KL77900627,"1,880",
KL77900846,24,
KL77900847,"3,249",
KL77901060,7,
KL77901061,"2,396",
KL77901234,7,
KL77901235,"1,748",
KL77901396,5,
KL77901397,"1,888",
KL77901592,7,
KL77901593,"2,567",
KO78100653,65,
KO78100654,"3,400",
KO78100888,72,
KO78100889,"6,402",
KO78101117,87,
KO78101118,"3,948",
KO78101335,70,
KO78101336,"3,786",
KO78101546,64,
KO78101547,"4,201",
KO78101807,63,
KO78101808,"5,613",
KOL/20150301/19162/MH/IN/O,507,
KOL/20150301/19206/MUM/IN/O,"26,730",
KR76700649,256,
KR76700650,"13,697",
KR76700879,308,
KR76700880,"22,592",
KR76701108,273,
KR76701109,"21,015",
KR76701325,212,
KR76701326,"20,653",
KR76701533,195,
KR76701534,"19,214",
KR76701790,263,
KR76701791,"26,988",
KT/20150301/19163/MH/IN/O,"13,895",
KT/20150301/19207/MUM/IN/O,"4,30,756",
LF/15-16/00003,"71,405",
LF-VAN/00122/15-16,"75,465",
M/04/15,"31,38,215",
MAH/AIRTEL-MUMBAI/0068,"2,73,358",
MAHARASHTRA/AIRTEL/0069,"22,73,972",
MAR-15-4G-DONGLE-SUBSIDY,"2,33,384",
MAR-15-4G-DONGLE-SUBSIDY-01,"1,37,663",
MAR-15-4G-DONGLE-SUBSIDY-02,"1,71,708",
MAR-15-4G-DONGLE-SUBSIDY-03,"1,48,101",
MAR-15-4G-DONGLE-SUBSIDY-04,"2,22,315",
MAR-15-4G-DONGLE-SUBSIDY-MAR-01-15,"3,71,604",
MAR-15-4G-DONGLE-SUBSIDY-MAR-02-15,"9,55,030",
MAR-15-4G-DONGLE-SUBSIDY-MAR-03-15,"3,63,575",
MAR-15-4G-DONGLE-SUBSIDY-MAR-04-15,"7,70,025",
MAR-15-4G-DONGLE-SUBSIDY-MAR-05-15,"1,38,575",
MAR-15-4G-DONGLE-SUBSIDY-MAR-06-15,"37,640",
MAR-15-4G-DONGLE-SUBSIDY-MAR-07-15,"2,81,518",
MAR-15-4G-DONGLE-SUBSIDY-MAR-08-15,"9,17,104",
MAR-15-4G-DONGLE-SUBSIDY-MAR-09-15,"3,00,578",
MAR-15-4G-DONGLE-SUBSIDY-MAR-10-15,"3,64,808",
MAR-15-4G-DONGLE-SUBSIDY-MAR-11-15,"3,44,159",
MAR-15-4G-DONGLE-SUBSIDY-MAR-12-15,"4,84,211",
MAR-15-4G-DONGLE-SUBSIDY-MAR-13-15,"3,65,974",
MAR-15-4G-DONGLE-SUBSIDY-MAR-14-15,"1,60,394",
MAR-15-4G-DONGLE-SUBSIDY-MAR-15-15,"4,44,798",
MAR-15-4G-DONGLE-SUBSIDY-MAR-16-15,"6,78,794",
MAR-15-4G-DONGLE-SUBSIDY-MAR-17-15,"6,88,317",
MAR-15-4G-DONGLE-SUBSIDY-MAR-18-15,"9,17,748",
MAR-15-4G-DONGLE-SUBSIDY-MAR-19-15,"1,38,376",
MAR-15-4G-DONGLE-SUBSIDY-MAR-20-15,"4,19,327",
MAR-15-4G-DONGLE-SUBSIDY-MAR-21-15,"12,65,811",
MAR-15-4G-DONGLE-SUBSIDY-SSB-MAR30-15,"86,040",
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-AEO00172,950,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MAU072,200,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MAU073,50,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MKL013,350,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MKL019,50,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MKL021,300,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MKL063,100,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MNAB001,200,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MNG1012,50,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MNG1033,800,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MNG109,"1,200",
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MNG110,200,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MNG188,200,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MNG777,350,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MNGA010,300,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MNGC04,200,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MPU008,250,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MPU762,50,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MPUD24,200,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MPUD30,100,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MPUD31,150,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MPUD62,150,
MAR-15-ADV-PREM-ACTIVATION-FEES-REVERSAL-MPUDS01,"3,300",
MAR15CLA/TDS/RECT/5,"2,000",
MAR15CSTPAYMENT,"2,44,299",
MAR-15-INT-COMM-AEO-SUPP-CC-SER-TAX-AEO00139A,"1,99,811",
MAR-15-INT-COMM-AEO-SUPP-CC-SER-TAX-AEO00169A,"2,78,164",
MAR-15-INT-COMM-AEO-SUPP-CC-SER-TAX-AEO00222A,"97,948",
MAR-15-INT-COMM-AEO-SUPP-CC-SER-TAX-AEO00224A,"1,26,957",
MAR-15-INT-COMM-AEO-SUPP-CC-SER-TAX-AEO00227A,"1,58,837",
MAR-15-INT-COMM-AEO-SUPPORT-CC-COLL-AEO00206A,"1,31,652",
MAR-15-INT-COMM-AEO-SUPPORT-CC-COLL-AEO00246A,"76,482",
MAR-15-INT-COMM-AEO-SUPPORT-CC-COLL-AEO30028A,"86,826",
MAR-15-INT-COMM-AEO-SUPPORT-CC-COLL-AEO30032A,"2,55,065",
MAR-15-INT-COMM-AEO-SUPPORT-CC-COLL-AEO40033A,"1,45,017",
MAR-15-INT-COMM-AEO-SUPPORT-CC-COLL-AEO40083A,"72,831",
MAR-15-INT-COMM-AEO-SUPPORT-CC-COLL-AEO40091A,"96,375",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO00121A,"3,32,916",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO00171A,"52,039",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO00191A,"1,21,658",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO00203A,"2,61,975",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO30030A,"2,90,885",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO40027A,"62,416",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO40077A,"1,64,694",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO40081A,"1,65,423",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO40084A,"77,079",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO40090A,"1,85,759",
MAR-15-INT-COMM-AEO-SUPPORT-SER-TAX-AEO40092A,"1,51,265",
MAR-15-INT-COMM-CC-COLL-SSPM-SER-TAX-BS000070A,"1,79,703",
MAR-15-INT-COMM-CC-COLL-SSPM-SER-TAX-BS000074A,"1,58,940",
MAR-15-INT-COMM-CC-COLL-SSPM-SER-TAX-BS000075A,"1,80,828",
MAR-15-INT-COMM-CC-COLL-SSPM-SER-TAX-BS00029A,"1,76,526",
MAR-15-INT-COMM-CC-COLL-SSPM-SER-TAX-BS00038A,"1,74,821",
MAR-15-INT-COMM-CC-COLL-SSPM-SER-TAX-BS00039A,"3,70,995",
MAR-15-INT-COMM-CC-COLL-SSPM-SER-TAX-BS00055A,"7,28,056",
MAR-15-INT-COMM-CC-COLL-SSPM-SER-TAX-BS00067A,"2,93,950",
MAR-15-INT-COMM-CC-COLL-SSPM-SER-TAX-BS00071A,"1,49,423",
MAR-15-INT-COMMISSION-AEO00056A,"16,800",
MAR-15-INT-COMMISSION-AEO00068A,"40,950",
MAR-15-INT-COMMISSION-AEO00207A,"60,950",
MAR-15-INT-COMMISSION-AEO40072A,"35,625",
MAR-15-INT-COMMISSION-AEO40098A,"23,637",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00002A,"75,475",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00015A,"94,300",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00022A,"1,40,875",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00031A,"72,512",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00036A,"99,625",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00047A,"1,27,216",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00102A,"86,150",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00117A,"1,08,925",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00152A,"60,075",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00153A,"61,093",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00165A,"1,00,100",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00168A,"1,36,940",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00179A,"1,11,400",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00181A,"1,17,729",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00184A,"1,09,701",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00192A,"1,74,647",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00201A,"1,71,425",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00202A,"51,950",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00204A,"68,662",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00216A,"3,44,466",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00217A,"88,225",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00219A,"1,09,150",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00226A,"85,650",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00232A,"1,48,162",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00234A,"80,327",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00235A,"83,594",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00238A,"82,375",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00243A,"40,975",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00247A,"2,03,350",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO00248A,"79,100",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO30022A,"72,394",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO30031A,"1,65,300",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO30035A,"55,500",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO30041A,"1,14,525",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40036A,"1,19,019",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40039A,"75,000",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40049A,"96,275",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40050A,"1,46,881",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40051A,"95,351",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40059A,"1,00,650",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40061A,"81,100",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40063A,"75,312",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40068A,"1,00,850",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40074A,"59,290",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40075A,"1,43,000",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40076A,"95,825",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40078A,"1,71,669",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40079A,"60,375",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40080A,"94,651",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40085A,"67,925",
MAR-15-INT-COMMISSION-AEO-SUPPORT-AEO40089A,"2,09,824",
MAR-15-INT-COMMISSION-BS00064A,"33,001",
MAR-15-INT-COMMISSION-CC-COLL-SSPM-BS00031A,"2,96,480",
MAR-15-INT-COMMISSION-CC-COLL-SSPM-BS00069A,"1,18,354",
MAR-15-INT-COMMISSION-CSA69020A,"84,299",
MAR-15-INT-COMMISSION-CSA69023A,"5,68,373",
MAR-15-INT-COMMISSION-CSA69024A,"5,63,200",
MAR-15-INT-COMMISSION-CSA69027A,"2,07,675",
MAR-15-INT-COMMISSION-SAD11137A,"1,57,600",
MAR-15-INT-COMMISSION-SER-TAX-AEO00214A,"1,08,246",
MAR-15-INT-COMMISSION-SER-TAX-AEO40030A,"38,676",
MAR-15-INT-COMMISSION-SER-TAX-BS00068A,"36,573",
MAR-15-INT-COMMISSION-SER-TAX-CSA10009A,"9,50,391",
MAR-15-INT-COMMISSION-SER-TAX-CSA10010A,"66,622",
MAR-15-INT-COMMISSION-SER-TAX-CSA63000A,"6,56,351",
MAR-15-INT-COMMISSION-SER-TAX-CSA64001A,"13,05,568",
MAR-15-INT-COMMISSION-SER-TAX-CSA65003A,"1,07,931",
MAR-15-INT-COMMISSION-SER-TAX-CSA65004A,"1,19,383",
MAR-15-INT-COMMISSION-SER-TAX-CSA65005A,"14,91,775",
MAR-15-INT-COMMISSION-SER-TAX-CSA69030A,"79,581",
MAR-15-INT-COMMISSION-SER-TAX-CSAKAM2A,"1,61,236",
MAR-15-INT-COMMISSION-SER-TAX-EBDSA019A,"1,83,926",
MAR-15-INT-COMMISSION-SER-TAX-MUB2B001A,"3,89,300",
MAR-15-INT-COMMISSION-SER-TAX-SAD11118A,"14,53,336",
MAR-15-INT-COMMISSION-SER-TAX-SAD11121A,"89,109",
MAR-15-INT-COMMISSION-SER-TAX-SAD11128A,"1,03,407",
MAR-15-INT-COMMISSION-SER-TAX-SAD11130A,"9,95,960",
MAR-15-INT-COMMISSION-SER-TAX-SAD11132A,"8,95,463",
MAR-15-INT-COMMISSION-SSPM-SER-TAX-ARC0002A,"1,58,795",
MAR-15-INT-COMMISSION-SSPM-SER-TAX-BS00062A,"73,230",
MAR-15-INTERIM-COMM-AEO-SUPPORT-CC-COLL-AEO00245,"1,47,050",
MAR-15-INTERIM-COMM-AEO-SUPPORT-CC-COLL-AEO40038,"1,20,036",
MAR-15-INTERIM-COMM-CC-COLL-SSPM-SER-TAX-ARC0004,"1,47,222",
MAR-15-INTERIM-COMM-CC-COLL-SSPM-SER-TAX-BS00033,"2,73,635",
MAR-15-INTERIM-COMM-CC-COLL-SSPM-SER-TAX-BS00054,"1,11,993",
MAR-15-INTERIM-COMM-CC-COLL-SSPM-SER-TAX-BS00070,"1,24,667",
MAR-15-INTERIM-COMMISSION-AAROHI,"40,150",
MAR-15-INTERIM-COMMISSION-AEO00091,"14,250",
MAR-15-INTERIM-COMMISSION-AEO00196,"60,761",
MAR-15-INTERIM-COMMISSION-AEO00218,"16,001",
MAR-15-INTERIM-COMMISSION-AEO00221,"13,325",
MAR-15-INTERIM-COMMISSION-AEO-SUPPORT-AEO00225,"49,375",
MAR-15-INTERIM-COMMISSION-AEO-SUPPORT-AEO00230,"1,39,544",
MAR-15-INTERIM-COMMISSION-AEO-SUPPORT-AEO00233,"1,42,687",
MAR-15-INTERIM-COMMISSION-AEO-SUPPORT-AEO00242,"1,26,000",
MAR-15-INTERIM-COMMISSION-AEO-SUPPORT-AEO00244,"1,21,300",
MAR-15-INTERIM-COMMISSION-AEO-SUPPORT-AEO30034,"47,925",
MAR-15-INTERIM-COMMISSION-CC-COLL-SSPM-BS00014,"2,23,146",
MAR-15-INTERIM-COMMISSION-CSA65006,"1,47,950",
MAR-15-INTERIM-COMMISSION-CSA65011,"2,94,325",
MAR-15-INTERIM-COMMISSION-CSA69026,"6,81,449",
MAR-15-INTERIM-COMMISSION-CSA69029,"1,21,850",
MAR-15-INTERIM-COMMISSION-CSA69031,"4,68,050",
MAR-15-INTERIM-COMMISSION-MAU005,"1,20,950",
MAR-15-INTERIM-COMMISSION-MAU007,"14,400",
MAR-15-INTERIM-COMMISSION-MAU069,"31,676",
MAR-15-INTERIM-COMMISSION-MAU070,"81,541",
MAR-15-INTERIM-COMMISSION-MAU075,"1,38,620",
MAR-15-INTERIM-COMMISSION-MAU077,"1,38,368",
MAR-15-INTERIM-COMMISSION-MAU080,"21,150",
MAR-15-INTERIM-COMMISSION-MAU082,"47,649",
MAR-15-INTERIM-COMMISSION-MAU084,"26,459",
MAR-15-INTERIM-COMMISSION-MAU086,"11,600",
MAR-15-INTERIM-COMMISSION-MAU089,"90,050",
MAR-15-INTERIM-COMMISSION-MAU092,"66,200",
MAR-15-INTERIM-COMMISSION-MAU094,"3,750",
MAR-15-INTERIM-COMMISSION-MGO007,"1,27,321",
